NDC/SKU,Manufacturer,Name,Lot number,Quantity ordered,Quantity in stock,Cost,Price,Expiration date,Generic for,Created on
"1050-30","DeRoyal","4in Cervical Collar, Universal, 4x22in","29865059","1","1","0","0","01/2999","","08/16/2023 10:49 AM"
"1050-30","DeRoyal","4in Cervical Collar, Universal, 4x22in","29489962","1","1","0","0","12/2999","","09/20/2023 3:04 PM"
"1050-30","DeRoyal","4in Cervical Collar, Universal, 4x22in","26243078","1","1","0","0","12/2999","","09/20/2023 3:05 PM"
"72578-0002-01","Viona Pharmaceuticals Inc","ACYCLOVIR 200mg/1","E206233","200","25","0.067","0.074","10/2024","","06/27/2023 10:05 AM"
"72578-0002-01","Viona Pharmaceuticals Inc","ACYCLOVIR 200mg/1","E302189","100","100","0.067","0.074","03/2025","","03/13/2024 10:21 AM"
"69452-0290-20","Bionpharma Inc.","ACYCLOVIR 400mg/1","3L02400","300","125","0.136","0.15","10/2026","","06/03/2024 4:55 PM"
"49281-0400-20","Sanofi Pasteur Inc.","Adacel TDaP 5[Lf]/.5mL; 2[Lf]/.5mL; 2.5ug/.5mL; 5ug/.5mL; 3ug/.5mL; 5ug/.5mL","U8000AA","5","1","48.232","53.055","02/2026","","04/25/2024 10:11 AM"
"00404-9810-01","Henry Schein, Inc.","Adrenalin (epineprine) 1mg/mL","39918","1","1","40.52","44.572","11/2024","Emergency Adrenaline (Epinephrine)","01/29/2024 10:35 AM"
"00781-7296-85","Sandoz Inc","ALBUTEROL SULFATE 108ug/1 - 1 CANISTER in 1 CARTON (0781-7296-85) / 200 AEROSOL, METERED in 1 CANISTER","106500","5","1","15.2","16.72","01/2026","","04/15/2024 12:01 PM"
"00378-8270-52","Mylan Pharmaceuticals Inc.","ALBUTEROL SULFATE 2.5mg/3mL - 1 POUCH in 1 CARTON (0378-8270-52) / 25 AMPULE in 1 POUCH (0378-8270-62) / 3 mL in 1 AMPULE","23BB0","2","1","4.29","4.719","02/2025","","04/17/2023 3:30 PM"
"00378-8270-91","Mylan Pharmaceuticals Inc.","ALBUTEROL SULFATE 2.5mg/3mL - 2 POUCH in 1 CARTON (0378-8270-91) / 30 AMPULE in 1 POUCH (0378-8270-64) / 3 mL in 1 AMPULE","23P92","2","2","10.36","11.396","10/2025","","02/06/2024 12:09 PM"
"68180-0963-01","Lupin Pharmaceuticals, Inc.","ALBUTEROL SULFATE 90ug/1 - 1 CANISTER in 1 CARTON (68180-963-01) / 200 AEROSOL, METERED in 1 CANISTER","IA00077","6","3","15.84","17.424","12/2025","","06/10/2024 12:05 PM"
"69097-0224-16","Cipla USA Inc.","ALENDRONATE SODIUM 70mg/1","GC30846","12","12","0.84","0.924","09/2026","","02/01/2024 2:59 PM"
"29300-0349-05","Unichem Pharmaceuticals (USA), Inc.","ALLOPURINOL 100mg/1","GAQL23076","500","300","0.072","0.079","07/2026","","02/09/2024 10:49 AM"
"29300-0350-01","Unichem Pharmaceuticals (USA), Inc.","ALLOPURINOL 300mg/1","ZAQH23136","300","300","0.065","0.072","10/2026","","04/24/2024 10:44 AM"
"72888-0039-60","Advagen Pharma Limited","AMIODARONE HYDROCHLORIDE 200mg/1","230235H1","120","120","0.125","0.138","01/2026","","05/06/2024 10:48 AM"
"72888-0039-60","Advagen Pharma Limited","AMIODARONE HYDROCHLORIDE 200mg/1","30175HD1","60","60","0.278","0.306","08/2026","","08/28/2024 11:19 AM"
"29300-0419-01","Unichem Pharmaceuticals (USA), Inc.","AMITRIPTYLINE HYDROCHLORIDE 10mg/1","GITL22019","200","170","0.023","0.025","11/2024","","04/03/2023 11:01 AM"
"29300-0419-01","Unichem Pharmaceuticals (USA), Inc.","AMITRIPTYLINE HYDROCHLORIDE 10mg/1","GITL23042","200","200","0.023","0.025","09/2025","","02/28/2024 10:41 AM"
"29300-0423-01","Unichem Pharmaceuticals (USA), Inc.","AMITRIPTYLINE HYDROCHLORIDE 100mg/1","GITA24005","400","400","0.045","0.05","01/2026","","05/31/2024 11:28 AM"
"29300-0420-01","Unichem Pharmaceuticals (USA), Inc.","AMITRIPTYLINE HYDROCHLORIDE 25mg/1","GITM23055","200","185","0.025","0.028","09/2025","","04/24/2024 10:29 AM"
"29300-0420-01","Unichem Pharmaceuticals (USA), Inc.","AMITRIPTYLINE HYDROCHLORIDE 25mg/1","GITM24021","400","400","0.025","0.028","12/2025","","05/31/2024 11:19 AM"
